Region|Month of Period End|Median Sale Price|Homes Sold|New Listings|Days on Market
Campbell|Feb-12|$590K|33|52|70
Campbell|Mar-12|$530K|47|41|19
Campbell|Apr-12|$590K|45|42|25
Campbell|May-12|$630K|50|53|20
Campbell|Jun-12|$705K|42|44|11
Campbell|Jul-12|$651K|41|50|12
Campbell|Aug-12|$640K|59|33|14
Campbell|Sep-12|$591K|32|44|19
Campbell|Oct-12|$671K|31|42|13
Campbell|Nov-12|$720K|41|31|17
Campbell|Dec-12|$760K|39|12|12
Campbell|Jan-13|$635K|21|43|13
Campbell|Feb-13|$733K|30|34|12
Campbell|Mar-13|$767K|39|53|11
Campbell|Apr-13|$684K|36|55|11
Campbell|May-13|$750K|40|60|9
Campbell|Jun-13|$708K|52|46|12
Campbell|Jul-13|$753K|50|51|17
Campbell|Aug-13|$690K|39|35|13
Campbell|Sep-13|$780K|36|49|18
Campbell|Oct-13|$779K|45|42|13
Campbell|Nov-13|$785K|33|30|16
Campbell|Dec-13|$725K|35|9|14
Campbell|Jan-14|$815K|25|32|17
Campbell|Feb-14|$801K|26|44|12
Campbell|Mar-14|$825K|42|33|9
Campbell|Apr-14|$858K|42|60|11
Campbell|May-14|$853K|48|47|10
Campbell|Jun-14|$905K|32|50|11
Campbell|Jul-14|$866K|58|54|13
Campbell|Aug-14|$795K|30|39|13
Campbell|Sep-14|$875K|41|48|13
Campbell|Oct-14|$770K|41|30|11
Campbell|Nov-14|$885K|29|22|27
Campbell|Dec-14|$875K|29|12|14
Campbell|Jan-15|$959K|23|20|13
Campbell|Feb-15|$970K|19|43|11
Campbell|Mar-15|$885K|33|43|9
Campbell|Apr-15|$1,015K|39|54|10
Campbell|May-15|$1,055K|43|48|10
Campbell|Jun-15|$960K|55|50|10
Campbell|Jul-15|$955K|41|47|13
Campbell|Aug-15|$960K|35|43|17
Campbell|Sep-15|$950K|43|33|21
Campbell|Oct-15|$820K|29|38|20
Campbell|Nov-15|$1,040K|26|27|28
Campbell|Dec-15|$960K|38|11|27
Campbell|Jan-16|$983K|24|32|45
Campbell|Feb-16|$1,068K|19|43|10
Campbell|Mar-16|$1,116K|28|44|12
Campbell|Apr-16|$1,110K|40|41|15
Campbell|May-16|$1,186K|39|48|22
Campbell|Jun-16|$1,099K|40|60|19
Campbell|Jul-16|$960K|39|49|32
